"Gardiner Lesson 17","Hans Mion","22.7.2004","mionh@hispeed.ch","","",""
"L","E","S29( 0, 0) - I9( 330, 15) - N5( 375, 270) ","S29 - I9 - N5 ","sf","yesterday","G17v"
"L","E","K4( 0, 180) - G1( 930, 0) - D21( 1710, 15) - X1( 1935, 510) - D3( 2655, 195) - B1( 3615, 15) ","K4 - G1 - D21 - X1 - D3 - B1 ","XArt","widow","G17v"
"L","E","D36( 0, 0) - V4( 0, 345) - G1( 945, 135) - A24( 1755, 165) ","D36 - V4 - G1 - A24 ","awAi","steal, rob","G17v"
"L","E","O42( 0, 0) - Q3( 345, 435) - A53( 915, 0) ","O42 - Q3 - A53 ","Ssp","image, idol","G17v"
"L","E","E34( 0, 420) - N35( 30, 975) - W24( 960, 435) - X1( 915, 870) - N14( 1410, 540) - A1( 1935, 0) - Z2( 1875, 780) ","E34 - N35 - W24 - X1 - N14 - A1 - Z2 ","wnwt","priesthood, priests (collective)","G17v"
"L","E","M20( 0, 0) - X1( 810, 15) - Z4( 825, 420) - A1( 1350, 0) ","M20 - X1 - Z4 - A1 ","sxty","peasant, fowler","G17v"
"L","E","A49( 0, 105) - F35( 645, 105) - F4( 945, 0) - X1( 945, 615) - Z1( 1575, 540) ","A49 - F35 - F4 - X1 - Z1 ","iry  nfr  HAt","keeper of the diadem","G17v"
"L","E","V28( 0, 90) - M2( 480, 90) - N35( 270, 690) - W24( 1110, 300) - G43( 1515, 75) - W22( 2310, 0) - Z2( 2190, 555) ","V28 - M2 - N35 - W24 - G43 - W22 - Z2 ","Hnw","chattels, belongings, lit. vessels","G17v"
"L","E","O4( 0, 210) - M17( 585, 105) - M17( 930, 105) - D52( 1200, 0) - A1( 1305, 315) ","O4 - M17 - M17 - D52 - A1 ","hi","husband","G17v"
"L","E","G1( 0, 30) - S29( 840, 30) - V2( 1140, 0) - D54( 1320, 405) ","G1 - S29 - V2 - D54 ","As","quickly","G17v"
"L","E","T18( 0, 0) - G43( 285, 0) - A1( 915, 0) ","T18 - G43 - A1 ","Smsw","follower, attendant","G17v"
"L","E","A49( 0, 15) - O29( 675, 45) - O31( 660, 450) - A1( 1560, 0) ","A49 - O29 - O31 - A1 ","iry  aA","door-keeper","G17v"
"L","E","F35( 0, 150) - F4( 330, 0) - X1( 375, 600) - Z1( 855, 510) ","F35 - F4 - X1 - Z1 ","nfr  HAt","diadem, or like","G17v"
"L","E","V28( 0, 0) - M42( 435, 0) - N35( 210, 600) - A17( 1155, 0) ","V28 - M42 - N35 - A17 ","Hwn","be young, rejuvenated","G17v"
"L","E","T28( 105, 0) - D21( 0, 495) - G43( 885, 75) - N23( 1530, 75) ","T28 - D21 - G43 - N23 ","Xrw","down, lower part, m Xrw downcast","G17v"
"L","E","O1( 150, 0) - O29( 0, 480) ","O1 - O29 ","pr  aA","Great House, Palace, Pharaoh","G17v"
"L","E","V7( 0, 75) - N35( 510, 0) - D36( 495, 360) - A24( 1410, 15) "," V7 - N35 - D36 - A24 ","Sna","repel, turn back (someone)","G17v"
"L","E","N35( 300, 0) - T34( 0, 180) - G17( 390, 195) - V28( 1290, 195) - A17( 1695, 210) - G37( 2205, 375) ","N35 - T34 - G17 - V28 - A17 - G37 ","nmHy","orphan, waif, poor man","G17v"
"L","E","M17( 0, 0) - V28( 360, 15) - E1( 780, 105) ","M17 - V28 - E1 ","iH"," ox","G17v"
"L","E","V13( 30, 15) - N35( 0, 600) - T14( 1005, 0) - G41( 1290, 15) ","V13 - N35 - T14 - G41 ","Tn","where ?, whence ?","G17v (interrogative)"
"L","E","V24( 0, 0) - G43( 300, 0) - Y1V( 945, 15) ","V24 - G43 - Y1V ","wD","command","G17v (noun)"
"L","E","S29( 0, 15) - V24( 300, 15) - G43( 555, 0) - Y1V( 1200, 0) ","S29 - V24 - G43 - Y1V ","swD","hand over, bequeath","G17v causative)"
