"Gardiner Lessons 2 to 33","Hans Mion","22.7.2004","mionh@hispeed.ch","","",""
"L","E","O34( 0, 0) - X1( 60, 555) - B1( 495, 120) ","O34 - X1 - B1 ","st","woman","G02v"
"L","E","J1( 210, 0) - D46( 0, 420) - P1( 840, 135) ","J1 - D46 - P1 ","xdi","fare downstream, northwards","G02v"
"L","E","D21( 0, 15) - D36( 0, 465) - N5( 990, 0) - Z1( 1095, 480) ","D21 - D36 - N5 - Z1 ","ra","sun, day","G02v"
"L","E","Q3( 60, 0) - X1( 405, 60) - N1( 0, 330) ","Q3 - X1 - N1 ","pt","sky, heaven","G02v"
"L","E","D46( 0, 0) - Q3( 120, 390) - X1( 435, 435) - P1( 945, 105) ","D46 - Q3 - X1 - P1 ","dpt","boat","G02v"
"L","E","Y3( 0, 0) - A1( 585, 30) ","Y3 - A1 ","sS","scribe","G02v"
"L","E","G43( 0, 15) - M17( 660, 0) - G1( 885, 0) - P4A( 1545, 165) ","G43 - M17 - G1 - P4A ","wiA","ship, bark, particularly divine ship","G02v"
"L","E","G43( 0, 0) - D58( 645, 0) - N35( 1170, 15) - N5( 1365, 270) ","G43 - D58 - N35 - N5 ","wbn","rise, shine forth","G02v"
"L","E","S29( 0, 0) - J1( 540, 30) - D21( 300, 435) - A2( 1095, 45) ","S29 - J1 - D21 - A2 ","sxr","plan, counsel","G02v"
"L","E","W11( 225, 0) - D21( 0, 525) - V28( 945, 0) - N2( 1215, 15) ","W11 - D21 - V28 - N2 ","grH","night","G02v"
"L","E","M17( 0, 0) - D36( 225, 225) - V28( 1095, 30) - N11A( 1395, 75) ","M17 - D36 - V28 - N11A ","iaH","moon","G02v"
"L","E","O34( 75, 0) - A1( 0, 240) - Z1( 600, 435) ","O34 - A1 - Z1 ","s","a man","G02v"
"L","E","N37( 0, 0) - N23( 105, 435) - Z1( 585, 390) ","N37 - N23 - Z1 ","S","lake, pool","G02v"
"L","E","D21( 0, 0) - J1( 225, 360) - Y1V( 870, 0) ","D21 - J1 - Y1V ","rx","become acquainted with, know","G02v"
"L","E","D21( 0, 60) - N37( 0, 450) - G43( 885, 75) - X1( 1350, 90) - D19( 1530, 300) - Y1V( 2175, 0) ","D21 - N37 - G43 - X1 - D19 - Y1V ","rSwt","joy","G02v"
"L","E","O1( 0, 0) - Z1( 240, 330) ","O1 - Z1 ","pr","house","G02v"
"L","E","N27( 15, 0) - X1( 0, 720) - Z1( 555, 645) ","N27 - X1 - Z1 ","Axt","horizon","G02v"
"L","E","F21( 0, 180) - G17( 555, 0) ","F21 - G17 ","sDm","hear (with n to), harken to, obey ( a person)","G02v"
"L","E","N16( 0, 0) - N23( 90, 390) - Z1( 540, 345) ","N16 - N23 - Z1 ","tA","earth, land","G02v"
"L","E","O4( 240, 0) - D21( 0, 615) - G43( 960, 75) - N5( 1605, 45) - Z1( 1725, 540) ","O4 - D21 - G43 - N5 - Z1 ","hrw","day, day-time","G02v"
"L","E","N35( 0, 0) - I10( 135, 165) - S29( 900, 165) - G37( 1125, 375) - A1( 1830, 195) ","N35 - I10 - S29 - G37 - A1 ","nDs","poor man, commoner","G02v"
"L","E","O49( 195, 0) - X1( 0, 465) - Z1( 465, 390) ","O49 - X1 - Z1 ","niwt","city, town","G02v"
"L","E","O4( 0, 165) - G1( 525, 0) - D54( 1335, 165) ","O4 - G1 - D54 ","hAi","go down, descend","G02v (verb  intransitive)"
"L","E","J1( 0, 165) - G17( 510, 0) - D35( 1425, 240) ","J1 - G17 - D35 ","xm","not know, be ignorant of","G02v (verb)"
"L","E","W11( 225, 0) - D21( 0, 435) - A2( 795, 30) ","W11 - D21 - A2 ","gr","be silent, cease","G02v (verb)"
"L","E","D28( 0, 0) - X1( 120, 645) - A9( 825, 90) ","D28 - X1 - A9 ","kAt","construction, work, device","G03v"
"L","E","G17( 0, 0) ","G17 ","m","in, with (of instrument), from, as, before suffixes im","G03v"
"L","E","G47( 0, 0) - X1( 810, 0) - Z1( 930, 435) - A1( 1320, 0) ","G47 - X1 - Z1 - A1 ","TAty","vizier","G03v"
"L","E","G39( 0, 0) - Z1( 675, 0) - A1( 930, 0) ","G39 - Z1 - A1 ","sA","son","G03v"
"L","E","G29( 0, 0) - V31( 795, 0) - A1( 1665, 0) ","G29 - V31 - A1 ","bAk","man-servant","G03v"
"L","E","O4( 0, 120) - G1( 480, 0) - D58( 1305, 15) - D54( 1815, 165) ","O4 - G1 - D58 - D54 ","hAb","send (someone, something)","G03v"
"L","E","V4( 0, 15) - G1( 930, 0) - X1( 1980, 30) - N31( 1710, 360) ","V4 - G1 - X1 - N31 ","wAt","road, way, side","G03v"
"L","E","M17( 0, 0) - X1( 480, 0) - D21( 285, 495) - G43( 1185, 0) - N35A( 1830, 75) ","M17 - X1 - D21 - G43 - N35A ","itrw","river","G03v"
"L","E","D21( 30, 0) - N37( 0, 435) - D19( 960, 105) - A2( 1590, 0) ","D21 - N37 - D19 - A2 ","rS","rejoice, be glad","G03v"
